,genomic element,overlaps,shuffle_overlap1,shuffle_overlap2,shuffle_overlap3,shuffle_overlap4,shuffle_overlap5,fe1,fe2,fe3,fe4,fe5,fe_mean,se
0,ce-11-beds/c-elegans-11-CDS.bed,12479,13624,14739,14008,13851,14252,0.9159571344685848,0.8466653097225049,0.8908480868075386,0.9009457800880802,0.8755964075217514,0.8860025437216918,0.011831658288318886
1,ce-11-beds/c-elegans-11-promoter.bed,64,42,42,41,39,47,1.5238095238095237,1.5238095238095237,1.5609756097560976,1.641025641025641,1.3617021276595744,1.522264485212072,0.04549055300004012
2,ce-11-beds/c-elegans-11-exon.bed,4386,4761,4681,4603,4650,4707,0.9212350346565847,0.9369792779320658,0.9528568325005431,0.9432258064516129,0.9318036966220523,0.9372201296325718,0.0053173943248850655
3,ce-11-beds/c-elegans-11-five_prime_UTR.bed,284,368,410,397,359,364,0.7717391304347826,0.6926829268292682,0.7153652392947103,0.7910863509749304,0.7802197802197802,0.7502186855506943,0.019440277202433045
4,ce-11-beds/c-elegans-11-three_prime_UTR.bed,326,829,951,904,873,968,0.39324487334137515,0.34279705573080965,0.3606194690265487,0.3734249713631157,0.3367768595041322,0.3613726457931963,0.010275383119648608
5,ce-11-beds/c-elegans-11-intron.bed,101138,51441,48786,56426,53842,77171,1.9660970820940495,2.073094740294347,1.7924006663594796,1.878422049700977,1.3105700327843361,1.8041169142466376,0.13187753665841495
6,ce-11-beds/c-elegans-11-gene.bed,10535,9588,9925,10015,9900,9695,1.0987692949520234,1.0614609571788414,1.0519221168247628,1.064141414141414,1.0866425992779782,1.072587276475004,0.008675328770815728
7,ce-11-beds/c-elegans-11-lincRNA.bed,294,234,233,242,260,253,1.2564102564102564,1.261802575107296,1.2148760330578512,1.1307692307692307,1.1620553359683794,1.2051826862626025,0.02580830043801399
8,ce-11-beds/c-elegans-11-miRNA.bed,46,8,4,5,3,7,5.75,11.5,9.2,15.333333333333334,6.571428571428571,9.67095238095238,1.7408429683239128
9,ce-11-beds/c-elegans-11-ncRNA.bed,820,219,235,208,202,208,3.7442922374429224,3.4893617021276597,3.9423076923076925,4.0594059405940595,3.9423076923076925,3.835535052956005,0.10026968823293023
10,ce-11-beds/c-elegans-11-TSS_region.bed,3059,1016,1106,1003,1051,1062,3.0108267716535435,2.7658227848101267,3.049850448654038,2.9105613701236916,2.8804143126177024,2.9234951375718206,0.050237580353061195
